Date,New Case,Recovered,Death,ICU,Daily New Case ,Daily Recovered Case,Daily Death Case
24/01/2020,0,0,0,0,0,0,0
25/01/2020,3,0,0,0,3,0,0
26/01/2020,4,0,0,0,1,0,0
27/01/2020,4,0,0,0,0,0,0
28/01/2020,4,0,0,0,0,0,0
29/01/2020,7,0,0,0,3,0,0
30/01/2020,8,0,0,0,1,0,0
31/01/2020,8,0,0,0,0,0,0
1/2/2020,8,0,0,0,0,0,0
2/2/2020,8,0,0,0,0,0,0
3/2/2020,8,0,0,0,0,0,0
4/2/2020,10,0,0,0,2,0,0
5/2/2020,12,1,0,0,2,1,0
6/2/2020,12,1,0,0,0,0,0
7/2/2020,12,1,0,0,0,0,0
8/2/2020,16,2,0,0,4,1,0
9/2/2020,16,3,0,0,0,1,0
10/2/2020,18,3,0,0,2,0,0
11/2/2020,18,3,0,0,0,0,0
12/2/2020,18,3,0,0,0,0,0
13/02/2020,19,3,0,0,1,0,0
14/02/2020,19,7,0,0,0,4,0
15/02/2020,22,7,0,0,3,0,0
16/02/2020,22,8,0,0,0,1,0
17/02/2020,22,9,0,0,0,1,0
18/02/2020,22,11,0,0,0,2,0
19/02/2020,22,15,0,0,0,4,0
20/02/2020,22,17,0,0,0,2,0
21/02/2020,22,17,0,0,0,0,0
22/02/2020,22,17,0,0,0,0,0
23/02/2020,22,18,0,0,0,1,0
24/02/2020,22,20,0,0,0,2,0
25/02/2020,22,20,0,0,0,0,0
26/02/2020,22,20,0,0,0,0,0
27/02/2020,23,22,0,0,1,2,0
28/02/2020,23,22,0,0,0,0,0
29/02/2020,25,22,0,0,2,0,0
1/3/2020,29,22,0,0,4,0,0
2/3/2020,29,22,0,0,0,0,0
3/3/2020,36,22,0,0,7,0,0
4/3/2020,50,22,0,0,14,0,0
5/3/2020,50,22,0,0,0,0,0
6/3/2020,83,22,0,0,33,0,0
7/3/2020,93,23,0,0,10,1,0
8/3/2020,99,24,0,2,6,1,0
9/3/2020,117,24,0,2,18,0,0
10/3/2020,129,25,0,2,12,1,0
11/3/2020,149,26,0,2,20,1,0
12/3/2020,158,32,0,3,9,6,0
13/03/2020,197,32,0,4,39,0,0
14/03/2020,238,35,0,5,41,3,0
15/03/2020,428,42,0,9,190,7,0
16/03/2020,553,42,0,12,125,0,0
17/03/2020,673,49,2,12,120,7,2
18/03/2020,790,60,2,15,117,11,0
19/03/2020,900,75,2,20,110,15,0
20/03/2020,1030,87,2,26,130,12,0
21/03/2020,1183,114,4,37,153,27,2
22/03/2020,1306,139,10,46,123,25,6
23/03/2020,1518,159,14,57,212,20,4
24/03/2020,1624,183,16,64,106,24,2
25/03/2020,1796,199,19,45,172,16,3
26/03/2020,2031,215,23,45,235,16,4
27/03/2020,2161,259,26,54,130,44,3
28/03/2020,2320,320,27,73,159,61,1
29/03/2020,2470,388,34,73,150,68,7
30/03/2020,2626,479,37,94,156,91,3
31/03/2020,2766,537,43,94,140,58,6
1/4/2020,2908,645,45,102,142,108,2
2/4/2020,3116,767,50,105,208,122,5
3/4/2020,3333,827,53,108,217,60,3
4/4/2020,3483,915,57,99,150,88,4
5/4/2020,3662,1005,61,99,179,90,4
6/4/2020,3793,1241,62,102,131,236,1
7/4/2020,3963,1321,63,92,170,80,1
8/4/2020,4119,1487,65,76,156,166,2
9/4/2020,4228,1608,67,72,109,121,2
10/4/2020,4346,1830,70,69,118,222,3
11/4/2020,4530,1995,73,72,184,165,3
12/4/2020,4683,2108,76,66,153,113,3
13/04/2020,4817,2276,77,66,134,168,1
14/04/2020,4987,2478,82,60,170,202,5
15/04/2020,5072,2647,83,56,85,169,1
16/04/2020,5182,2766,84,56,110,119,1
17/04/2020,5251,2967,86,51,69,201,2
18/04/2020,5305,3102,88,49,54,135,2
19/04/2020,5389,3197,89,46,84,95,1
20/04/2020,5425,3295,89,45,36,98,0
21/04/2020,5482,3349,92,43,57,54,3
22/04/2020,5532,3452,93,43,50,103,1
23/04/2020,5603,3542,95,42,71,90,2
24/04/2020,5691,3663,96,41,88,121,1
25/04/2020,5742,3762,98,36,51,99,2
26/04/2020,5780,3862,98,36,38,100,0
27/04/2020,5820,3957,99,37,40,95,1
28/04/2020,5851,4032,100,36,31,75,1
29/04/2020,5945,4087,100,40,94,55,0
30/04/2020,6002,4171,102,36,57,84,2
1/5/2020,6071,4210,103,37,69,39,1
2/5/2020,6176,4326,103,31,105,116,0
3/5/2020,6298,4413,105,27,122,87,2
4/5/2020,6353,4484,105,28,55,71,0
5/5/2020,6383,4567,106,24,30,83,1
6/5/2020,6428,4702,107,22,45,135,1
7/5/2020,6467,4776,107,19,39,74,0
8/5/2020,6535,4864,107,18,68,88,0
9/5/2020,6589,4929,108,18,54,65,1
10/5/2020,6656,5025,108,18,67,96,0
11/5/2020,6726,5113,109,20,70,88,1
12/5/2020,6742,5223,109,16,16,110,0
13/05/2020,6779,5281,111,16,37,58,2
14/05/2020,6819,5351,112,16,40,70,1
15/05/2020,6855,5439,112,14,36,88,0
16/05/2020,6872,5512,113,13,17,73,1
17/05/2020,6894,5571,113,13,22,59,0
18/05/2020,6941,5615,113,13,47,44,0
19/05/2020,6978,5646,114,11,37,31,1
20/05/2020,7009,5706,114,11,31,60,0
21/05/2020,7059,5796,114,10,50,90,0
22/05/2020,7137,5859,115,9,78,63,1
23/05/2020,7185,5912,115,9,48,53,0
24/05/2020,7245,5945,115,9,60,33,0
25/05/2020,7417,5979,115,8,172,34,0
26/05/2020,7604,6041,115,8,187,62,0
27/05/2020,7619,6083,115,8,15,42,0
28/05/2020,7629,6169,115,8,10,86,0
29/05/2020,7732,6235,115,8,103,66,0
30/05/2020,7762,6330,115,9,30,95,0
31/05/2020,7819,6353,115,9,57,23,0
1/6/2020,7857,6404,115,8,38,51,0
2/6/2020,7877,6470,115,6,20,66,0
3/6/2020,7970,6531,115,6,93,61,0
4/6/2020,8247,6559,115,6,277,28,0
5/6/2020,8266,6610,116,6,19,51,1
6/6/2020,8266,6610,116,6,0,0,0
7/6/2020,8322,6674,117,5,56,64,1
8/6/2020,8329,6694,117,6,7,20,0
9/6/2020,8336,6975,117,6,7,281,0
10/6/2020,8338,7014,118,5,2,39,1
11/6/2020,8369,7065,118,5,31,51,0
